"Via","PK","Velocitat","Latitud","Longitud"
"B-23",3.35,80,41.3758834827457,2.07079593391935
"B-23",4.76,80,41.3733797323901,2.054351469688
"B-23",9.26,100,41.3981130845454,2.02203088499636
"BV-1248",4,70,41.5818628571421,2.06728295390606
"BV-1433",2.01,70,41.651942600038,2.28795328550625
"BV-1435",9.57,90,41.6353706117291,2.23218787691158
"BV-1462",6.567,50,41.4289319754726,2.08738093227077
"BV-2113",1.432,90,41.248949990339,1.77161366296944
"BV-5001",7.89,90,41.4876333693635,2.19377683457605
"BV-5001",11.596,90,41.5147032486862,2.21449963499783
"C-12",14.259,90,40.7824081924814,0.503401588109368
"C-12",21.411,90,40.8403777424812,0.514443877344836
"C-12",30.719,90,40.9141585585056,0.489401963099404
"C-12",65.729,90,41.1114049942241,0.641215684592286
"C-12",120.26,90,41.4567936356798,0.577090311159786
"C-12",144.96,90,41.6384541131957,0.647547186521444
"C-12",147.509,70,41.6588875745232,0.660586836230583
"C-13",27.925,90,41.7635646547826,0.813054034059555
"C-13",89.686,90,42.1868023917848,0.907255861864854
"C-14",4.35,70,41.1285794757997,1.12238781571498
"C-14",13.916,120,41.2047523549246,1.14647557036685
"C-14",20.029,120,41.2550222295144,1.17356864023804
"C-14",28.15,60,41.3135100714289,1.18434142850123
"C-14",120.628,90,41.9181373772892,1.22044057804191
"C-14",153.328,90,42.1480488712129,1.30726372009227
"C-14",161.016,90,42.2046536253178,1.32774453486538
"C-14","124,7-134,3",90,41.9399417703591,1.2580881922725
"C-14","134,3-124,8",90,42.0098028503564,1.29388723254145
"C-1412a",19.3,90,41.830878060011,1.36258078604425
"C-1412a",39.873,90,41.7193565520979,1.5234396161638
"C-1412a",41.618,80,41.7071278208228,1.5359419604622
"C-1412a",53.235,90,41.62877853207,1.52215654820535
"C-1413a",2.4,90,41.4348492048074,2.00179163562045
"C-15",24.238,100,41.4195813043992,1.69011853805075
"C-155",10.35,50,41.5740288872245,2.20823001749814
"C-155",14.7,90,41.5874350957515,2.25179039811555
"C-16",51.088,120,41.7260720114125,1.86515476958479
"C-16",51.183,120,41.7269165796265,1.8653180971392
"C-16",63.29,120,41.8232052388302,1.88954375007561
"C-16",68.294,120,41.8613663882033,1.87065005656635
"C-16",78,120,41.9397217473386,1.87743833669242
"C-16",94.219,120,42.0757808677983,1.865831482357
"C-16",113.555,90,42.2225528883329,1.87251640232051
"C-16","11,85-8,325",110,41.4767061094347,2.06534649699047
"C-16","2,103-5,148",80,41.406103,2.115834
"C-16","5,150-2,101",80,41.425662,2.091903
"C-16","8,675-11,22",110,41.4461294910795,2.06909640816813
"C-17",7.9,100,41.5101866819128,2.20325360642572
"C-17",33.546,80,"41.716169","2.272746"
"C-17",42.662,80,41.7849790356962,2.24384879375392
"C-17",42.717,80,41.7856093685089,2.24281308309949
"C-17","18,17-16,21",100,"41.589064","2.259485 "
"C-17","19,77-18,17",80,"41.604448","2.261495"
"C-17","37,79-41,0",80,"41.750002 ","2.259575"
"C-17","41,1-37,83",80,"41.771934","2.245223"
"C-244",22.113,90,41.4563751422237,1.67761653414388
"C-245",4.067,50,41.2914575294688,1.99418021946029
"C-25",111.635,120,41.7453918811214,1.57943252081911
"C-25",128.724,120,41.7341650970546,1.76886390700927
"C-25",143.359,120,41.7864875179851,1.9100962852807
"C-25",162.76,120,41.8942388702595,2.07229410303523
"C-25",180.551,100,41.9569331685165,2.24561117986813
"C-25",230.075,120,41.8799284838163,2.71017113116277
"C-251",5.156,90,41.6343105836154,2.33579178258801
"C-251",12.28,90,41.6488957013071,2.41645774886224
"C-26",8.45,90,41.8119346728763,0.643710575769712
"C-26",30.613,90,41.8101405482738,0.863386097319905
"C-26",89.335,90,42.0239747612278,1.3721923249439
"C-31",137.457,80,41.2064603760516,1.5600698840941
"C-31",186.068,80,41.2723016996906,2.04064231259419
"C-31",186.84,80,41.2756655138478,2.04843939280275
"C-31",191.207,100,41.3119198624962,2.06692469022425
"C-31",194.688,80,41.3345947031766,2.09363934849147
"C-31",312.787,80,41.8083524306259,3.03428903470694
"C-31",319.775,100,41.8557487612661,3.0728663271903
"C-31",336.13,90,41.9386138039373,3.16143018286571
"C-31",376.51,90,42.2187189669962,3.01731898196744
"C-31","150,4-157,0",90,41.2383287364,1.68983235344429
"C-31","157,0-150,4",90,41.2122003775089,1.7524865246007
"C-31","212,2-215",80,41.448301965427,2.23620472231222
"C-31","214,8-211,4",80,41.4605767913434,2.26082282324548
"C-31a",366,90,42.1389470724517,3.06741773817455
"C-31b",8.235,80,41.1053438972539,1.20405246852877
"C-32",9.17,120,41.210636571458,1.60559819279053
"C-32",50.07,80,41.2975956158112,2.01823757981455
"C-32",51.97,80,41.3114116789054,2.03135758807949
"C-32",53.777,120,41.3241741038804,2.04486386932944
"C-32 nord",85,120,41.4833542059489,2.29500703051046
"C-32 sud",48.085,120,41.2866477431581,1.99947690241228
"C-33",80.048,120,41.4761801160847,2.18323506399639
"C-35",29.15,90,41.5714636250691,2.25331651227493
"C-35",52.1,80,41.6616695314258,2.46121999540878
"C-35",69.887,90,41.7463987815075,2.63225313351974
"C-35",91.2,100,41.8017736030212,2.83720812298263
"C-37",3.2,90,41.2687310700582,1.21364144235669
"C-37z",71.485,90,41.62373449093,1.65787990948433
"C-38",1.635,90,42.2535814585115,2.34334019054387
"C-53",135.435,90,41.754484213156,0.914692345439192
"C-55",3.89,80,41.5412328768154,1.88726345935903
"C-55",15.297,80,41.6201816673861,1.84880794426594
"C-55",18.52,80,41.6472761545646,1.85730186178011
"C-55",25.5,80,41.6989659753217,1.84162265693972
"C-55",27,80,41.7112727596002,1.83565614811308
"C-55",39.129,90,41.7719921951299,1.78870286098457
"C-55",53.74,90,41.8730297011223,1.71395960267784
